Class,Sepal_Length(cm),Sepal_Width(cm),Petal_Length(cm),Petal_Width(cm)
Iris-versicolor,5,2.3,3.3,1
Iris-versicolor,6.1,3,4.6,1.4
Iris-setosa,4.8,3,1.4,0.1
Iris-setosa,4.4,2.9,1.4,0.2
Iris-virginica,6.3,2.9,5.6,1.8
Iris-virginica,6.2,2.8,4.8,1.8
Iris-setosa,5,3.4,1.5,0.2
Iris-setosa,5,3.5,1.6,0.6
Iris-setosa,5.4,3.9,1.7,0.4
Iris-setosa,4.6,3.2,1.4,0.2
Iris-versicolor,5.5,2.4,3.8,1.1
Iris-versicolor,6.5,2.8,4.6,1.5
Iris-versicolor,5.7,3,4.2,1.2
Iris-setosa,4.6,3.1,1.5,0.2
Iris-virginica,6.5,3.2,5.1,2
Iris-virginica,5.8,2.8,5.1,2.4
Iris-setosa,4.8,3.4,1.9,0.2
Iris-setosa,4.7,3.2,1.6,0.2
Iris-setosa,5.2,3.4,1.4,0.2
Iris-versicolor,6.7,3.1,4.4,1.4
Iris-versicolor,5.6,3,4.5,1.5
Iris-setosa,5.4,3.4,1.5,0.4
Iris-versicolor,6.2,2.2,4.5,1.5
Iris-versicolor,5.8,2.7,3.9,1.2
Iris-virginica,6.7,3.3,5.7,2.5
Iris-setosa,4.6,3.4,1.4,0.3
Iris-setosa,4.4,3,1.3,0.2
Iris-virginica,6.9,3.1,5.1,2.3
Iris-versicolor,5,2,3.5,1
Iris-versicolor,6,2.9,4.5,1.5
